x i1 i2 i3 i4 i5 i6 i7 i8
2.720000 0.000000 0.000097 0.000220 0.000354 0.000495 0.000642 0.000792 0.000945
2.730000 0.000000 0.000097 0.000220 0.000354 0.000495 0.000642 0.000792 0.000945
2.740000 0.000000 0.000097 0.000220 0.000354 0.000496 0.000642 0.000792 0.000946
2.750000 0.000000 0.000097 0.000220 0.000354 0.000496 0.000642 0.000792 0.000946
2.760000 0.000000 0.000097 0.000220 0.000355 0.000496 0.000642 0.000792 0.000946
2.770000 0.000000 0.000097 0.000220 0.000355 0.000496 0.000642 0.000792 0.000946
2.780000 0.000000 0.000097 0.000220 0.000355 0.000496 0.000642 0.000793 0.000946
2.790000 0.000000 0.000097 0.000220 0.000355 0.000496 0.000642 0.000793 0.000946
2.800000 0.000000 0.000097 0.000221 0.000355 0.000496 0.000642 0.000793 0.000946
2.810000 0.000000 0.000097 0.000221 0.000355 0.000496 0.000642 0.000793 0.000946
2.820000 0.000000 0.000097 0.000221 0.000355 0.000496 0.000643 0.000793 0.000947
2.830000 0.000000 0.000097 0.000221 0.000355 0.000496 0.000643 0.000793 0.000947
2.840000 0.000000 0.000097 0.000221 0.000355 0.000496 0.000643 0.000793 0.000947
2.850000 0.000000 0.000097 0.000221 0.000355 0.000496 0.000643 0.000793 0.000947
2.860000 0.000000 0.000097 0.000221 0.000355 0.000496 0.000643 0.000793 0.000947
2.870000 0.000000 0.000097 0.000221 0.000355 0.000496 0.000643 0.000793 0.000947
2.880000 0.000000 0.000097 0.000221 0.000355 0.000496 0.000643 0.000794 0.000947
2.890000 0.000000 0.000097 0.000221 0.000355 0.000497 0.000643 0.000794 0.000947
2.900000 0.000000 0.000097 0.000221 0.000355 0.000497 0.000643 0.000794 0.000948
2.910000 0.000000 0.000097 0.000221 0.000355 0.000497 0.000643 0.000794 0.000948
2.920000 0.000000 0.000097 0.000221 0.000355 0.000497 0.000643 0.000794 0.000948
2.930000 0.000000 0.000097 0.000221 0.000355 0.000497 0.000643 0.000794 0.000948
2.940000 0.000000 0.000097 0.000221 0.000355 0.000497 0.000644 0.000794 0.000948
2.950000 0.000000 0.000097 0.000221 0.000355 0.000497 0.000644 0.000794 0.000948
2.960000 0.000000 0.000097 0.000221 0.000355 0.000497 0.000644 0.000794 0.000948
2.970000 0.000000 0.000097 0.000221 0.000355 0.000497 0.000644 0.000795 0.000948
2.980000 0.000000 0.000097 0.000221 0.000356 0.000497 0.000644 0.000795 0.000949
2.990000 0.000000 0.000097 0.000221 0.000356 0.000497 0.000644 0.000795 0.000949
3.000000 0.000000 0.000097 0.000221 0.000356 0.000497 0.000644 0.000795 0.000949
3.010000 0.000000 0.000097 0.000221 0.000356 0.000497 0.000644 0.000795 0.000949
3.020000 0.000000 0.000097 0.000221 0.000356 0.000497 0.000644 0.000795 0.000949
3.030000 0.000000 0.000098 0.000221 0.000356 0.000497 0.000644 0.000795 0.000949
3.040000 0.000000 0.000098 0.000221 0.000356 0.000498 0.000644 0.000795 0.000949
3.050000 0.000000 0.000098 0.000221 0.000356 0.000498 0.000644 0.000795 0.000949
3.060000 0.000000 0.000098 0.000221 0.000356 0.000498 0.000645 0.000795 0.000950
